"The requested qty exceeds the maximum %1 qty allowed in shopping cart","この商品を一度に購入できるのは%1個までです"
"Tax Class ","消費税率"
"The date entered is incorrect.","入力された日付が正しくありません"
"Enter special price start date.","特別価格の開始日を入力して下さい"
"Enter special price end date.","特別価格の終了日を入力して下さい"
"Please enter a special price.","特別価格を入力して下さい"
"Please enter the special price as a numerical value.","特別価格は数値で入力して下さい"
" Are you sure you want to edit this product ? ","この商品を編集してもよろしいですか？"
"Enter Meta Keywords Comma(',') Separated..","カンマ区切りでメタキーワードを入力してください"
"Save Profile","保存する"

"Market Place","マーケットプレイス"
"Setting 403 page","403ページ設定"
"403 CMS Page","403CMSページ"
"Send a delivery notification email","配送通知メールを送信する"
"Profile Settings","ストアプロフィール編集"
"Return Policy","返品ポリシー"
"Privacy Policy","プライバシーポリシー"
"Recently Added Products","最近追加された商品"
"View All %1 Products","全 %1 商品を見る"
"Contact","販売店に問い合わせる"
"Please enter no more than 128 characters.","128 文字以下で入力してください。"
"Return to order details","注文詳細に戻る"
"Delivery company","配送業者",
"Delivery information","配送情報",
"Failed to save the seller. Please try again.","セラーの保存に失敗しました。もう一度やりなおしてください。"
"Shipping and handling","配送料と手数料"
"Payment  ","支払金額"
"Internal consumption tax [10%]","内消費税[10%]"
"Delivery Date/Day: ","配送希望日: "
"Delivery Time: ","配送希望時間: "
"SKU: ","商品番号: "
